Designator,Footprint,Quantity,Value,LCSC Part #
A1,Arduino_Nano_WithMountingHoles,1,Arduino_Nano_RP2040_Connect,
"C1, C2, C3, C4, C5, C6",0603,6,1u,C1592
"C10, C15, C17, C18",1206,4,47u,C76659
"C11, C16",0603,2,150p,C1594
"C12, C14, C7, C9",0603,4,100n,C14663
"C13, C8",0805,2,10u,C440198
"D2, D3, D4",D_SMB_Handsoldering,3,STPS3L60U,C132769
"H1, H2, H3, H4",MountingHole_3.5mm_Pad,4,MountingHole,
"J1, J5, J6",JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,3,Conn_01x02_Pin,C157931
J2,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06_Socket,
J3,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Socket,
J4,JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,1,Conn_01x04_Pin,C157925
L1,0603,1,1uH,C22037
"L2, L3",L_Taiyo-Yuden_NR-50xx_HandSoldering,2,10u,C222896
Q1,ONSemi_SO-8FL_488AA,1,AP90N02NF NMOS,C3011254
R1,0603,1,1961R,C22854
"R10, R2",0603,2,100R,C22775
"R11, R3, R5, R8",0603,4,10k,C25804
"R12, R13",0603,2,0R,C15402
"R4, R7",0603,2,47k,C25819
R6,0603,1,3160,C22993
R9,0603,1,1100,C22764
"U1, U2",TI_SO-PowerPAD-8,2,ST1S14PHR,C84130
